一直|ㄧ ㄓˊ|straight (in a straight line); continuously; always; from the beginning of ... up to ...; all along.
一樣|ㄧ ㄧㄤˋ|same; like; equal to; the same as; just like.
一下|ㄧ ㄒㄧㄚˋ|(used after a verb) give it a go; to do (sth for a bit to give it a try); one time; once; in a while; all of a sudden; all at once.
一起|ㄧ ㄑㄧˇ|in the same place; together; with; altogether (in total).
一會|ㄧ ㄏㄨㄟˋ|a moment; a while; in a moment; also pr. [yi1 hui3].
一共|ㄧ ㄍㄨㄥˋ|altogether.
一個人|ㄧ ㄍㄜˋ ㄖㄣˊ|by oneself (without assistance); alone (without company).
一定|ㄧ ㄉㄧㄥˋ|surely; certainly; necessarily; fixed; a certain (extent etc); given; particular; must.
一點|ㄧ ㄉㄧㄢˇ|a bit; a little; one dot; one point.
一邊|ㄧ ㄅㄧㄢ|one side; either side; on the one hand; on the other hand; doing while.
一般|ㄧ ㄅㄢ|same; ordinary; so-so; common; general; generally; in general.
一|ㄧ|"one; 1; single; a (article); as soon as; entire; whole; all; throughout; ""one"" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit."
作業|ㄗㄨㄛˋ ㄧㄝˋ|school assignment; homework; work; task; operation; CL:個/个[ge4]; to operate.
昨天|ㄗㄨㄛˊ ㄊㄧㄢ|yesterday.
做夢|ㄗㄨㄛˋ ㄇㄥˋ|to dream; to have a dream; fig. illusion; fantasy; pipe dream.
左邊|ㄗㄨㄛˇ ㄅㄧㄢ˙|left; the left side; to the left of.
左|ㄗㄨㄛˇ|surname Zuo.
左|ㄗㄨㄛˇ|left; the Left (politics); east; unorthodox; queer; wrong; differing; opposite; variant of 佐[zuo3].
坐|ㄗㄨㄛˋ|surname Zuo.
坐|ㄗㄨㄛˋ|to sit; to take a seat; to take (a bus, airplane etc); to bear fruit; variant of 座[zuo4].
做|ㄗㄨㄛˋ|to make; to produce; to write; to compose; to do; to engage in; to hold (a party etc); (of a person) to be (an intermediary, a good student etc); to become (husband and wife, friends etc); (of a thing) to serve as; to be used for; to assume (an air or manner).
最近|ㄗㄨㄟˋ ㄐㄧㄣˋ|recently; soon; nearest.
最後|ㄗㄨㄟˋ ㄏㄡˋ|final; last; finally; ultimate.
嘴巴|ㄗㄨㄟˇ ㄅㄚ˙|mouth; CL:張/张[zhang1]; slap in the face; CL:個/个[ge4].
最|ㄗㄨㄟˋ|most; the most; -est (superlative suffix).
足球|ㄗㄨˊ ㄑㄧㄡˊ|soccer ball; a football; CL:個/个[ge4]; soccer; football.
